course_code,course_name,cycle,institution_code,institution_name,reference
A006,Economia (ensino em Inglês),Licenciatura - 1º ciclo,1104,Universidade do Porto - Faculdade de Economia,5.4.201
9353,Educação,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.163
8427,Educação (regime pós-laboral),Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.163
9082,Educação Ambiental,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,5.4.267
L130,Educação Ambiental e Turismo de Natureza,Licenciatura - 1º ciclo,3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,5.4.462
9853,Educação Básica,Licenciatura - 1º ciclo,3091,"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto",5.4.344
9853,Educação Básica,Licenciatura - 1º ciclo,3022,Instituto Politécnico de Beja - Escola Superior de Educação,5.4.239
9853,Educação Básica,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,5.4.267
9853,Educação Básica,Licenciatura - 1º ciclo,3052,Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco,5.4.286
9853,Educação Básica,Licenciatura - 1º ciclo,3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,5.4.306
9853,Educação Básica,Licenciatura - 1º ciclo,3101,Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais,5.4.363
9853,Educação Básica,Licenciatura - 1º ciclo,3112,Instituto Politécnico de Lisboa - Escola Superior de Educação,5.4.395
9853,Educação Básica,Licenciatura - 1º ciclo,3121,Instituto Politécnico de Portalegre - Escola Superior de Educação e Ciências Sociais,5.4.410
9853,Educação Básica,Licenciatura - 1º ciclo,3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,5.4.462
9853,Educação Básica,Licenciatura - 1º ciclo,3151,Instituto Politécnico de Setúbal - Escola Superior de Educação,5.4.482
9853,Educação Básica,Licenciatura - 1º ciclo,3162,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,5.4.496
9853,Educação Básica,Licenciatura - 1º ciclo,3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,5.4.513
9853,Educação Básica,Licenciatura - 1º ciclo,3131,Instituto Politécnico do Porto - Escola Superior de Educação,5.4.421
9853,Educação Básica,Licenciatura - 1º ciclo,1308,Universidade da Madeira - Faculdade de Ciências Sociais,5.4.153
9853,Educação Básica,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.42
