course_code,course_name,cycle,institution_code,institution_name,institution_sigla,reference,estatisticas_do_curso,detalhes_do_curso,nota_ult_col_2023_1a,nota_ult_col_2023_2a,nota_ult_col_2024_1a,nota_ult_col_2024_2a,nota_ult_col_2025_1a,nota_ult_col_2025_2a
L240,"Música, variante de Instrumento e Canto",Licenciatura - 1º ciclo,3132,Instituto Politécnico do Porto - Escola Superior de Música e Artes do Espectáculo,ESMAE,II.8,https://infocursos.medu.pt/dges.asp?code=3132&codc=L240,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L240&code=3132,,,,,,
9816,"Música, variante de Música Eletrónica e Produção Musical",Licenciatura - 1º ciclo,3055,Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas,ESART,II.3,https://infocursos.medu.pt/dges.asp?code=3055&codc=9816,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9816&code=3055,,,,,,
9836,"Música, variante de Canto",Licenciatura - 1º ciclo,3055,Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas,ESART,II.3,https://infocursos.medu.pt/dges.asp?code=3055&codc=9836,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9836&code=3055,,,,,,
9837,"Música, variante de Composição",Licenciatura - 1º ciclo,3132,Instituto Politécnico do Porto - Escola Superior de Música e Artes do Espectáculo,ESMAE,II.8,https://infocursos.medu.pt/dges.asp?code=3132&codc=9837,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9837&code=3132,,,,,,
9782,"Música, variante de Execução",Licenciatura - 1º ciclo,3114,Instituto Politécnico de Lisboa - Escola Superior de Música,ESML,II.6,https://infocursos.medu.pt/dges.asp?code=3114&codc=9782,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9782&code=3114,,,,,,
9838,"Música, variante de Jazz",Licenciatura - 1º ciclo,3132,Instituto Politécnico do Porto - Escola Superior de Música e Artes do Espectáculo,ESMAE,II.8,https://infocursos.medu.pt/dges.asp?code=3132&codc=9838,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9838&code=3132,,,,,,
8343,"Música, variante de Jazz (regime pós-laboral)",Licenciatura - 1º ciclo,3114,Instituto Politécnico de Lisboa - Escola Superior de Música,ESML,II.6,https://infocursos.medu.pt/dges.asp?code=3114&codc=8343,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8343&code=3114,,,,,,
9839,"Música, variante de Música Antiga",Licenciatura - 1º ciclo,3132,Instituto Politécnico do Porto - Escola Superior de Música e Artes do Espectáculo,ESMAE,II.9,https://infocursos.medu.pt/dges.asp?code=3132&codc=9839,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9839&code=3132,,,,,,
9840,"Música, variante de Produção e Tecnologias da Música",Licenciatura - 1º ciclo,3132,Instituto Politécnico do Porto - Escola Superior de Música e Artes do Espectáculo,ESMAE,II.9,https://infocursos.medu.pt/dges.asp?code=3132&codc=9840,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9840&code=3132,,,,,,
9785,Negócios Internacionais,Licenciatura - 1º ciclo,3143,Instituto Politécnico de Santarém - Escola Superior de Gestão e Tecnologia de Santarém,ESGTS,5.4.467,https://infocursos.medu.pt/dges.asp?code=3143&codc=9785,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9785&code=3143,134.5,134.5,119.9,128,,
9785,Negócios Internacionais,Licenciatura - 1º ciclo,1000,Universidade do Minho,UMinho,5.4.175,https://infocursos.medu.pt/dges.asp?code=1000&codc=9785,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9785&code=1000,160,156.2,164.8,164.2,160,162.5
8184,Optometria e Ciências da Visão,Licenciatura - 1º ciclo,400,Universidade da Beira Interior,UBI,5.4.65,https://infocursos.medu.pt/dges.asp?code=400&codc=8184,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8184&code=400,,,,,,
8184,Optometria e Ciências da Visão,Licenciatura - 1º ciclo,1000,Universidade do Minho,UMinho,5.4.175,https://infocursos.medu.pt/dges.asp?code=1000&codc=8184,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8184&code=1000,117.8,119.4,126.4,131.6,117.3,119.8
8516,Organização e Gestão Empresariais,Licenciatura - 1º ciclo,3164,Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais,ESCE,5.4.494,https://infocursos.medu.pt/dges.asp?code=3164&codc=8516,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8516&code=3164,137.6,132.7,137.2,141.2,124.8,117.5
8152,Ortoprotesia,Licenciatura - 1º ciclo,7250,Instituto Politécnico de Lisboa - Escola Superior de Saúde de Lisboa,ESSL,5.4.399,https://infocursos.medu.pt/dges.asp?code=7250&codc=8152,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8152&code=7250,145.6,142.6,133.7,139.3,119.5,113.8
8143,Ortóptica,Licenciatura - 1º ciclo,7230,Instituto Politécnico do Porto - Escola Superior de Saúde,ESS,5.4.432,https://infocursos.medu.pt/dges.asp?code=7230&codc=8143,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8143&code=7230,138,138.5,138,136,145.8,142.8
L161,Ortóptica e Ciências da Visão,Licenciatura - 1º ciclo,7250,Instituto Politécnico de Lisboa - Escola Superior de Saúde de Lisboa,ESSL,5.4.399,https://infocursos.medu.pt/dges.asp?code=7250&codc=L161,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L161&code=7250,142.1,142.1,133.8,133,112.3,116.3
L136,Osteopatia,Licenciatura - 1º ciclo,3046,Instituto Politécnico de Bragança - Escola Superior de Hotelaria e Bem-Estar,EHBE,5.4.506,https://infocursos.medu.pt/dges.asp?code=3046&codc=L136,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=L136&code=3046,,,,,126.8,142.3
